Designator,Mid X,Mid Y,Layer,Rotation
C1,173.5250,-107.4355,Bottom,0.0000
C2,177.1250,-107.4355,Bottom,0.0000
C3,175.3250,-110.5525,Bottom,0.0000
C4,171.7250,-110.5525,Bottom,0.0000
C5,169.9250,-107.4355,Bottom,0.0000
C6,171.7250,-104.3175,Bottom,0.0000
C7,103.2875,-95.3800,Bottom,0.0000
C8,198.5225,-83.3800,Bottom,0.0000
C9,86.1375,-96.7800,Bottom,0.0000
C10,182.2275,-83.2800,Bottom,0.0000
C11,186.5250,-108.4050,Bottom,0.0000
C12,221.3260,-92.9270,Bottom,0.0000
C13,119.3450,-99.4250,Bottom,0.0000
C14,56.4950,-96.0050,Bottom,0.0000
C15,175.3250,-104.3175,Bottom,0.0000
C16,179.0390,-109.8015,Bottom,0.0000
C17,168.9720,-111.3435,Bottom,0.0000
C18,212.5770,-84.7100,Bottom,0.0000
C19,190.1250,-108.4050,Bottom,0.0000
C20,122.1450,-99.4250,Bottom,0.0000
C21,59.7250,-98.1250,Bottom,0.0000
C22,120.7450,-101.8500,Bottom,0.0000
C23,160.4250,-109.9250,Bottom,0.0000
C24,164.0250,-109.9250,Bottom,0.0000
R1,116.9200,-100.8250,Bottom,0.0000
R2,116.9200,-98.0250,Bottom,0.0000
R3,55.0950,-98.4300,Bottom,0.0000
R4,54.0700,-94.6050,Bottom,0.0000
R5,168.2790,-104.5235,Bottom,0.0000
R6,173.2210,-101.4425,Bottom,0.0000
R7,105.7125,-96.7800,Bottom,0.0000
R8,200.9475,-84.7800,Bottom,0.0000
R9,212.2250,-81.9250,Bottom,0.0000
R10,212.5770,-79.1400,Bottom,0.0000
R11,219.9640,-71.2730,Bottom,0.0000
R12,222.7220,-70.7470,Bottom,0.0000
R13,185.0275,-83.2800,Bottom,0.0000
R14,183.6275,-85.7050,Bottom,0.0000
R15,179.8025,-84.6800,Bottom,0.0000
R16,179.8025,-81.8800,Bottom,0.0000
D1,49.4250,-59.9250,Top,0.0000
D2,64.4250,-59.9250,Top,0.0000
D3,79.4250,-59.9250,Top,0.0000
D4,94.4250,-59.9250,Top,0.0000
D5,109.4250,-59.9250,Top,0.0000
D6,124.4250,-59.9250,Top,0.0000
D7,139.4250,-59.9250,Top,0.0000
D8,154.4250,-59.9250,Top,0.0000
D9,49.4250,-71.9250,Top,0.0000
D10,64.4250,-71.9250,Top,0.0000
D11,79.4250,-71.9250,Top,0.0000
D12,94.4250,-71.9250,Top,0.0000
D13,109.4250,-71.9250,Top,0.0000
D14,124.4250,-71.9250,Top,0.0000
D15,139.4250,-71.9250,Top,0.0000
D16,154.4250,-71.9250,Top,0.0000
D17,49.4250,-83.9250,Top,0.0000
D18,64.4250,-83.9250,Top,0.0000
D19,79.4250,-83.9250,Top,0.0000
D20,94.4250,-83.9250,Top,0.0000
D21,109.4250,-83.9250,Top,0.0000
D22,124.4250,-83.9250,Top,0.0000
D23,139.4250,-83.9250,Top,0.0000
D24,154.4250,-83.9250,Top,0.0000
D25,182.4250,-71.9250,Top,0.0000
D26,197.4250,-71.9250,Top,0.0000
D27,212.4250,-71.9250,Top,0.0000
D28,227.4250,-71.9250,Top,0.0000
J1,119.2550,-108.9250,Top,0.0000
J2,151.3150,-108.6250,Top,0.0000
J3,58.7450,-103.7250,Top,0.0000
J4,207.7250,-103.7250,Top,0.0000
J5,119.0050,-85.9250,Top,0.0000
SW1,146.9550,-95.3050,Top,0.0000
SW2,154.9550,-95.3050,Top,0.0000
U1,173.5250,-107.4350,Top,0.0000
U2,186.5250,-108.4050,Top,0.0000
U3,103.2850,-95.3750,Top,0.0000
U4,198.5250,-83.3750,Top,0.0000
U5,86.1350,-96.7750,Top,0.0000
U6,182.2250,-83.2750,Top,0.0000
U7,223.4250,-81.9250,Top,90.0000
U8,119.3450,-99.4250,Top,0.0000
U9,56.4950,-96.0050,Top,0.0000
Y1,160.4250,-109.9250,Top,0.0000
